id,RELEASETIME,FULLTIME,REPAYTIME,ITEM_NAME,ITEM_AMOUNT,ITEM_STATUS,ITEM_INTRODUCTION,LIFE_LOAN,MONEY_RATE,LOAN_TYPE,LOAN_USE,BONDING_COMPANY,DEADLINE,REPAYTYPE,BORROWER_NAME,BORROWER_SEX,BORROWER_AGE,BORROWER_EDUCATION,BORROWER_MARRIAGE,BORROWER_INDUSTRY,BORROWER_CITY,BORROWER_INCOME,BORROWER_HOUSE,BORROWER_CAR,REWARD
"24824",\N,\N,\N,"裘皮协会会员项目2015071602","500,000.00",\N,\N,"10个月","8.80",\N,"资金周转",\N,\N,"按月付息,到期还本","HS****","男","38",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24825",\N,\N,\N,"裘皮协会会员项目2015071601","200,000.00",\N,\N,"9个月","8.60",\N,"借款金额：￥200,000.00    ",\N,\N,"按月付息,到期还本","w1****","男","27",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24826",\N,\N,\N,"垫资赎契项目2015071401","1,000,000.00",\N,\N,"2个月","7.60",\N,"借款金额：￥1,000,000.00  ",\N,\N,"一次性还款","pa****","男","39",\N,"已婚","房地产业","广东 广州",\N,"有","有","0.50
			              "
"24827",\N,\N,\N,"商户融资业务2015071302","70,000.00",\N,\N,"12个月","9.00",\N,"借款金额：￥70,000.00     ",\N,\N,"按月付息,到期还本","le****","男","37",\N,"已婚","教育","广东 广州",\N,"有","有","0.50
			              "
"24828",\N,\N,\N,"商户融资业务2015071301","80,000.00",\N,\N,"12个月","9.00",\N,"借款金额：￥80,000.00     ",\N,\N,"按月付息,到期还本","le****","男","37",\N,"已婚","教育","广东 广州",\N,"有","有","0.50
			              "
"24829",\N,\N,\N,"江南果菜市场项目2015071104","500,000.00",\N,\N,"6个月","8.00",\N,"短期周转",\N,\N,"按月付息,到期还本","p1****","女","38",\N,"已婚","批发和零售业","广东 广州",\N,"有","有","0.50
			              "
"24830",\N,\N,\N,"江南果菜市场项目2015071103","500,000.00",\N,\N,"6个月","8.00",\N,"短期周转",\N,\N,"按月付息,到期还本","p1****","女","38",\N,"已婚","批发和零售业","广东 广州",\N,"有","有","0.50
			              "
"24831",\N,\N,\N,"江南果菜市场项目2015071102","500,000.00",\N,\N,"6个月","8.00",\N,"短期周转",\N,\N,"按月付息,到期还本","p1****","女","38",\N,"已婚","批发和零售业","广东 广州",\N,"有","有","0.50
			              "
"24832",\N,\N,\N,"江南果菜市场项目2015071101","500,000.00",\N,\N,"6个月","8.00",\N,"短期周转",\N,\N,"按月付息,到期还本","p1****","女","38",\N,"已婚","批发和零售业","广东 广州",\N,"有","有","0.50
			              "
"24833",\N,\N,\N,"江南果菜市场项目2015071002","300,000.00",\N,\N,"6个月","8.00",\N,"借款金额：￥300,000.00    ",\N,\N,"按月付息,到期还本","p1****","男","49",\N,"已婚","批发和零售业","广东 广州",\N,"有","有","0.50
			              "
"24834",\N,\N,\N,"江南果菜市场项目2015071001","500,000.00",\N,\N,"6个月","8.00",\N,"短期周转",\N,\N,"按月付息,到期还本","p1****","男","49",\N,"已婚","批发和零售业","广东 广州",\N,"有","有","0.50
			              "
"24835",\N,\N,\N,"裘皮协会会员项目2015070802","300,000.00",\N,\N,"6个月","8.00",\N,"借款金额：￥300,000.00    ",\N,\N,"按月付息,到期还本","w1****","男","33",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24836",\N,\N,\N,"裘皮协会会员项目2015070801","200,000.00",\N,\N,"6个月","8.00",\N,"借款金额：￥200,000.00    ",\N,\N,"按月付息,到期还本","w1****","男","33",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24837",\N,\N,\N,"裘皮协会会员项目2015070701","500,000.00",\N,\N,"6个月","8.00",\N,"短期周转",\N,\N,"按月付息,到期还本","p1****","男","43",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24838",\N,\N,\N,"裘皮协会会员项目2015063001","200,000.00",\N,\N,"6个月","8.00",\N,"借款金额：￥200,000.00    ",\N,\N,"按月付息,到期还本","YW****","男","46",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24839",\N,\N,\N,"裘皮协会会员项目2015062903","300,000.00",\N,\N,"6个月","8.00",\N,"借款金额：￥300,000.00    ",\N,\N,"按月付息,到期还本","p1****","男","35",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24840",\N,\N,\N,"裘皮协会会员项目2015062902","300,000.00",\N,\N,"6个月","8.00",\N,"借款金额：￥300,000.00    ",\N,\N,"按月付息,到期还本","p1****","男","35",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24841",\N,\N,\N,"裘皮协会会员项目2015062901","400,000.00",\N,\N,"6个月","8.00",\N,"借款金额：￥400,000.00    ",\N,\N,"按月付息,到期还本","p1****","男","35",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24842",\N,\N,\N,"中瑞融资租赁项目2015062508","500,000.00",\N,\N,"12个月","9.00",\N,"资金周转",\N,\N,"按月付息,到期还本","lu****","男","62",\N,"已婚","电力、热力、燃气及水的生产和供应业","广东 广州",\N,"有","有","0.50
			              "
"24843",\N,\N,\N,"中瑞融资租赁项目2015062507","500,000.00",\N,\N,"11个月","8.90",\N,"资金周转",\N,\N,"按月付息,到期还本","lu****","男","62",\N,"已婚","电力、热力、燃气及水的生产和供应业","广东 广州",\N,"有","有","0.50
			              "
"24844",\N,\N,\N,"中瑞融资租赁项目2015062506","500,000.00",\N,\N,"11个月","8.90",\N,"资金周转",\N,\N,"按月付息,到期还本","lu****","男","62",\N,"已婚","电力、热力、燃气及水的生产和供应业","广东 广州",\N,"有","有","0.50
			              "
"24845",\N,\N,\N,"中瑞融资租赁项目2015062505","500,000.00",\N,\N,"10个月","8.80",\N,"资金周转",\N,\N,"按月付息,到期还本","lu****","男","62",\N,"已婚","电力、热力、燃气及水的生产和供应业","广东 广州",\N,"有","有","0.50
			              "
"24846",\N,\N,\N,"中瑞融资租赁项目2015062504","500,000.00",\N,\N,"10个月","8.80",\N,"资金周转",\N,\N,"按月付息,到期还本","lu****","男","62",\N,"已婚","电力、热力、燃气及水的生产和供应业","广东 广州",\N,"有","有","0.50
			              "
"24847",\N,\N,\N,"中瑞融资租赁项目2015062503","500,000.00",\N,\N,"9个月","8.60",\N,"资金周转",\N,\N,"按月付息,到期还本","lu****","男","62",\N,"已婚","电力、热力、燃气及水的生产和供应业","广东 广州",\N,"有","有","0.50
			              "
"24848",\N,\N,\N,"中瑞融资租赁项目2015062502","500,000.00",\N,\N,"8个月","8.40",\N,"资金周转",\N,\N,"按月付息,到期还本","lu****","男","62",\N,"已婚","电力、热力、燃气及水的生产和供应业","广东 广州",\N,"有","有","0.50
			              "
"24849",\N,\N,\N,"中瑞融资租赁项目2015062501","500,000.00",\N,\N,"7个月","8.20",\N,"资金周转",\N,\N,"按月付息,到期还本","lu****","男","62",\N,"已婚","电力、热力、燃气及水的生产和供应业","广东 广州",\N,"有","有","0.50
			              "
"24850",\N,\N,\N,"村民融资业务2015062407","350,000.00",\N,\N,"12个月","9.00",\N,"借款金额：￥350,000.00    ",\N,\N,"按月付息,到期还本","p1****","男","44",\N,"离异","其它","广东 广州",\N,"有","有","0.50
			              "
"24851",\N,\N,\N,"村民融资业务2015062406","350,000.00",\N,\N,"12个月","9.00",\N,"借款金额：￥350,000.00    ",\N,\N,"按月付息,到期还本","p1****","男","44",\N,"离异","其它","广东 广州",\N,"有","有","0.50
			              "
"24852",\N,\N,\N,"村民融资业务2015062405","400,000.00",\N,\N,"12个月","9.00",\N,"借款金额：￥400,000.00    ",\N,\N,"按月付息,到期还本","p1****","男","44",\N,"离异","其它","广东 广州",\N,"有","有","0.50
			              "
"24853",\N,\N,\N,"村民融资业务2015062404","400,000.00",\N,\N,"12个月","9.00",\N,"借款金额：￥400,000.00    ",\N,\N,"按月付息,到期还本","p1****","男","44",\N,"离异","其它","广东 广州",\N,"有","有","0.50
			              "
"24854",\N,\N,\N,"村民融资业务2015062403","500,000.00",\N,\N,"12个月","9.00",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","44",\N,"离异","其它","广东 广州",\N,"有","有","0.50
			              "
"24855",\N,\N,\N,"村民融资业务2015062402","500,000.00",\N,\N,"12个月","9.00",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","44",\N,"离异","其它","广东 广州",\N,"有","有","0.50
			              "
"24856",\N,\N,\N,"村民融资业务2015062401","500,000.00",\N,\N,"12个月","9.00",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","44",\N,"离异","其它","广东 广州",\N,"有","有","0.50
			              "
"24857",\N,\N,\N,"江南果菜市场项目2015062304","500,000.00",\N,\N,"3个月","7.70",\N,"短期周转",\N,\N,"按月付息,到期还本","p1****","男","43",\N,"已婚","批发和零售业","广东 广州",\N,"有","有","0.50
			              "
"24858",\N,\N,\N,"江南果菜市场项目2015062303","500,000.00",\N,\N,"3个月","7.70",\N,"短期周转",\N,\N,"按月付息,到期还本","p1****","男","43",\N,"已婚","批发和零售业","广东 广州",\N,"有","有","0.50
			              "
"24859",\N,\N,\N,"江南果菜市场项目2015062302","500,000.00",\N,\N,"3个月","7.70",\N,"短期周转",\N,\N,"按月付息,到期还本","p1****","男","43",\N,"已婚","批发和零售业","广东 广州",\N,"有","有","0.50
			              "
"24860",\N,\N,\N,"江南果菜市场项目2015062301","500,000.00",\N,\N,"3个月","7.70",\N,"短期周转",\N,\N,"按月付息,到期还本","p1****","男","43",\N,"已婚","批发和零售业","广东 广州",\N,"有","有","0.50
			              "
"24861",\N,\N,\N,"裘皮协会会员项目2015061706","300,000.00",\N,\N,"12个月","9.00",\N,"借款金额：￥300,000.00    ",\N,\N,"按月付息,到期还本","Zh****","男","56",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24862",\N,\N,\N,"裘皮协会会员项目2015061705","350,000.00",\N,\N,"12个月","9.00",\N,"借款金额：￥350,000.00    ",\N,\N,"按月付息,到期还本","Zh****","男","56",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24863",\N,\N,\N,"裘皮协会会员项目2015061704","350,000.00",\N,\N,"12个月","9.00",\N,"借款金额：￥350,000.00    ",\N,\N,"按月付息,到期还本","Zh****","男","56",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24864",\N,\N,\N,"裘皮协会会员项目2015061703","200,000.00",\N,\N,"12个月","9.00",\N,"借款金额：￥200,000.00    ",\N,\N,"按月等额本息还款","p1****","男","43",\N,"已婚","制造业","广东 广州",\N,"有","无","0.50
			              "
"24865",\N,\N,\N,"裘皮协会会员项目2015061702","300,000.00",\N,\N,"12个月","9.00",\N,"借款金额：￥300,000.00    ",\N,\N,"按月等额本息还款","p1****","男","43",\N,"已婚","制造业","广东 广州",\N,"有","无","0.50
			              "
"24866",\N,\N,\N,"裘皮协会会员项目2015061701","500,000.00",\N,\N,"12个月","9.00",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","43",\N,"已婚","制造业","广东 广州",\N,"有","无","0.50
			              "
"24867",\N,\N,\N,"裘皮协会会员项目2015061504","500,000.00",\N,\N,"12个月","9.00",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","43",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24868",\N,\N,\N,"裘皮协会会员项目2015061503","300,000.00",\N,\N,"7个月","8.20",\N,"借款金额：￥300,000.00    ",\N,\N,"按月付息,到期还本","p1****","男","43",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24869",\N,\N,\N,"裘皮协会会员项目2015061502","350,000.00",\N,\N,"7个月","8.20",\N,"借款金额：￥350,000.00    ",\N,\N,"按月付息,到期还本","p1****","男","43",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24870",\N,\N,\N,"裘皮协会会员项目2015061501","350,000.00",\N,\N,"7个月","8.20",\N,"借款金额：￥350,000.00    ",\N,\N,"按月付息,到期还本","p1****","男","43",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24871",\N,\N,\N,"裘皮协会会员项目2015061202","200,000.00",\N,\N,"6个月","8.00",\N,"借款金额：￥200,000.00    ",\N,\N,"按月付息,到期还本","ho****","男","30",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24872",\N,\N,\N,"裘皮协会会员项目2015061201","300,000.00",\N,\N,"6个月","8.00",\N,"借款金额：￥300,000.00    ",\N,\N,"按月付息,到期还本","ho****","男","30",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24873",\N,\N,\N,"裘皮协会会员项目2015061003","300,000.00",\N,\N,"11个月","8.90",\N,"借款金额：￥300,000.00    ",\N,\N,"按月付息,到期还本","hu****","男","38",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24874",\N,\N,\N,"裘皮协会会员项目2015061002","300,000.00",\N,\N,"10个月","8.80",\N,"借款金额：￥300,000.00    ",\N,\N,"按月付息,到期还本","ni****","男","28",\N,"未婚","制造业","广东 广州",\N,"有","无","0.50
			              "
"24875",\N,\N,\N,"裘皮协会会员项目2015061001","200,000.00",\N,\N,"10个月","8.80",\N,"借款金额：￥200,000.00    ",\N,\N,"按月付息,到期还本","ni****","男","28",\N,"未婚","制造业","广东 广州",\N,"有","无","0.50
			              "
"24876",\N,\N,\N,"裘皮协会会员项目2015052002","500,000.00",\N,\N,"8个月","8.40",\N,"资金周转",\N,\N,"按月付息,到期还本","pe****","男","34",\N,"已婚","批发和零售业","广东 广州",\N,"有","有","0.50
			              "
"24877",\N,\N,\N,"江南果菜市场项目2015060104","500,000.00",\N,\N,"3个月","7.70",\N,"短期周转",\N,\N,"按月付息,到期还本","p1****","男","42",\N,"已婚","批发和零售业","广东 广州",\N,"有","有","0.50
			              "
"24878",\N,\N,\N,"江南果菜市场项目2015060103","500,000.00",\N,\N,"3个月","7.70",\N,"短期周转",\N,\N,"按月付息,到期还本","p1****","男","42",\N,"已婚","批发和零售业","广东 广州",\N,"有","有","0.50
			              "
"24879",\N,\N,\N,"江南果菜市场项目2015060102","500,000.00",\N,\N,"6个月","8.00",\N,"短期周转",\N,\N,"按月付息,到期还本","p1****","男","42",\N,"已婚","批发和零售业","广东 广州",\N,"有","有","0.50
			              "
