id,RELEASETIME,FULLTIME,REPAYTIME,ITEM_NAME,ITEM_AMOUNT,ITEM_STATUS,ITEM_INTRODUCTION,LIFE_LOAN,MONEY_RATE,LOAN_TYPE,LOAN_USE,BONDING_COMPANY,DEADLINE,REPAYTYPE,BORROWER_NAME,BORROWER_SEX,BORROWER_AGE,BORROWER_EDUCATION,BORROWER_MARRIAGE,BORROWER_INDUSTRY,BORROWER_CITY,BORROWER_INCOME,BORROWER_HOUSE,BORROWER_CAR,REWARD
"78927",\N,\N,\N,"公司经营需资金周转
                    					优选理财","400000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert7",\N,"36.000000","专科","已婚",\N,"四川省金川县","8001-10000",\N,"有","2.000000"
"78928",\N,\N,\N,"商品房装修，需要一笔装修费
                    普通标","180000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert10",\N,"27.000000","本科","已婚",\N,"吉林省延吉市","10001-30000",\N,"有",\N
"78929",\N,\N,\N,"老家房子装修，需资金周转
                    					优选理财",\N,\N,\N,"6个月",\N,\N,\N,\N,\N,"按月付息到期还本","qwert11",\N,\N,"高中及以下","已婚",\N,"吉林省安图县","8001-10000",\N,"有",\N
"78930",\N,\N,\N,"个体经营 需资金周转
                    					优选理财",\N,\N,\N,"3个月",\N,\N,\N,\N,\N,"按月付息到期还本","dfneij348",\N,\N,"本科","已婚",\N,"吉林省大安市","10001-30000",\N,"有",\N
"78931",\N,\N,\N,"日常消费需资金周转
                    普通标","160000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert9",\N,"38.000000","专科","已婚",\N,"云南省昆明市","10001-30000",\N,"有",\N
"78932",\N,\N,\N,"新购置新房，需要一笔装修费
                    普通标","56480.000000",\N,\N,"6个月",\N,"15.000000",\N,\N,\N,"按月付息到期还本","zhao5598327",\N,"44.000000","高中及以下","已婚",\N,"湖南省浏阳市","10001-30000",\N,"有",\N
"78933",\N,\N,\N,"购买材料，需要资金周转
                    					优选理财","300000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert8",\N,"45.000000","高中及以下","已婚",\N,"济南省历下区","30001-50000",\N,"有","2.000000"
"78934",\N,\N,\N,"门店经营需要资金周转
                    					优选理财","260000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert5",\N,"36.000000","专科","已婚",\N,"吉林省吉林市","30001-50000",\N,"有","2.000000"
"78935",\N,\N,\N,"扩大规模，需要资金周转
                    					优选理财","210000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert4",\N,"44.000000","高中及以下","已婚",\N,"河北省邯郸市","10001-30000",\N,"有","2.000000"
"78936",\N,\N,\N,"扩大经营，需要资金周转
                    					优选理财","330000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert2",\N,"57.000000","高中及以下","已婚",\N,"西安省碑林区","30001-50000",\N,"有","2.000000"
"78937",\N,\N,\N,"店面装修，急需资金周转
                    					优选理财","210000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert3",\N,"54.000000","高中及以下","已婚",\N,"宁夏吴忠市","10001-30000",\N,"有","2.000000"
"78938",\N,\N,\N,"房屋装修需要资金周转
                    普通标","120000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","g5m40j75",\N,"47.000000","高中及以下","已婚",\N,"广西省柳州市","10001-30000",\N,"有",\N
"78939",\N,\N,\N,"做生意需要资金周转
                    					优选理财","480000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert32",\N,"39.000000","专科","已婚",\N,"山西省娄烦县","30001-50000",\N,"有","2.000000"
"78940",\N,\N,\N,"生活消费需要资金周转
                    					优选理财",\N,\N,\N,"3个月",\N,\N,\N,\N,\N,"按月付息到期还本","4tnijbg",\N,\N,"专科","已婚",\N,"广西宾阳县","10001-30000",\N,"有",\N
"78941",\N,\N,\N,"扩大经营，需要资金周转
                    					优选理财","300000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert1",\N,"34.000000","本科","已婚",\N,"陕西省三原县","30001-50000",\N,"有","2.000000"
"78942",\N,\N,\N,"加盟全友家居，需要资金临时周转
                    普通标","42360.000000",\N,\N,"1个月",\N,"9.000000",\N,\N,\N,"按月付息到期还本","yejq88",\N,"44.000000","本科","已婚",\N,"江西省萍乡市","10001-30000",\N,"有",\N
"78943",\N,\N,\N,"购置原材料，需要资金周转
                    普通标","100800.000000",\N,\N,"3个月",\N,"11.000000",\N,\N,\N,"按月付息到期还本","无痕",\N,"52.000000","高中及以下","已婚",\N,"南京市白下区","30001-50000",\N,"有",\N
"78944",\N,\N,\N,"优选2015062401期
                    					优选理财","150000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert17",\N,"40.000000","本科","已婚",\N,"四川省金堂县","10001-30000",\N,"有","2.000000"
"78945",\N,\N,\N,"资金周转，用于企业经营
                    普通标","56480.000000",\N,\N,"1个月",\N,"9.000000",\N,\N,\N,"按月付息到期还本","ocean_fish",\N,"36.000000","专科","已婚",\N,"广西南宁","5001-8000",\N,\N,\N
"78946",\N,\N,\N,"优选2015062402期
                    					优选理财","400000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert16",\N,"34.000000","研究生","已婚",\N,"四川省广汉市","50000以上",\N,"有","2.000000"
"78947",\N,\N,\N,"个体经营，需要资金周转
                    普通标","56480.000000",\N,\N,"6个月",\N,"15.000000",\N,\N,\N,"按月付息到期还本","tanrx1986",\N,"35.000000","专科","已婚",\N,"北京市西城区","10001-30000",\N,"有",\N
"78948",\N,\N,\N,"企业资金周转，需要一笔费用
                    普通标","56480.000000",\N,\N,"1个月",\N,"9.000000",\N,\N,\N,"按月付息到期还本","xhjxc",\N,"53.000000","高中及以下","已婚",\N,"贵州省遵义市红花岗区","10001-30000",\N,"有",\N
"78949",\N,\N,\N,"商铺装修 急需资金周转
                    					优选理财",\N,\N,\N,"6个月",\N,\N,\N,\N,\N,"按月付息到期还本","buhuy898",\N,\N,"高中及以下","已婚",\N,"沈阳市于洪区","30001-50000",\N,"有",\N
"78950",\N,\N,\N,"有房抵押，有保障！用于资金周转
                    普通标","100000.000000",\N,\N,"6个月",\N,"15.000000",\N,\N,\N,"按月付息到期还本","beyond368",\N,"41.000000","本科","已婚",\N,\N,"10001-30000",\N,"有",\N
"78951",\N,\N,\N,"公司进货 急需资金周转
                    					优选理财","240000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","huhi8y8y8",\N,"49.000000","高中及以下","已婚",\N,"陕西省铜川市","30001-50000",\N,"有","2.000000"
"78952",\N,\N,\N,"扩大厂房 需要资金周转
                    普通标","230000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","hkioiohi8",\N,"53.000000","高中及以下","已婚",\N,"吉林省四平市","30001-50000",\N,"有",\N
"78953",\N,\N,\N,"饭店装修，急需资金周转
                    					优选理财","200000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","hi9u8mk8",\N,"44.000000","高中及以下","已婚",\N,"山东省汶上县","10001-30000",\N,"有","2.000000"
"78954",\N,\N,\N,"扩大规模，扩建厂房。
                    普通标","42360.000000",\N,\N,"1个月",\N,"9.000000",\N,\N,\N,"按月付息到期还本","123kl",\N,"45.000000","专科","已婚",\N,"福建福州","10001-30000",\N,"有",\N
"78955",\N,\N,\N,"资金循环，需短期周转一下
                    普通标","56480.000000",\N,\N,"1个月",\N,"9.000000",\N,\N,\N,"按月付息到期还本","csr1468",\N,"40.000000","本科","已婚",\N,"河北省嵩山县","10001-30000",\N,"有",\N
"78956",\N,\N,\N,"装修房子，需要资金
                    普通标","56480.000000",\N,\N,"1个月",\N,"9.000000",\N,\N,\N,"按月付息到期还本","幽蓝e馨",\N,"36.000000","专科","已婚",\N,"四川成都","8001-10000",\N,\N,\N
"78957",\N,\N,\N,"企业经营 需资金周转
                    普通标","150000.000000",\N,"借款详情：本人住址位于贵州省贵阳市南明区，因企业经营，需要一笔资金周转，望大家支持一下。","1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","jkef",\N,"52.000000","高中及以下","已婚",\N,"贵州贵阳","10001-30000",\N,"有",\N
"78958",\N,\N,\N,"房子装修 需要资金周转
                    					优选理财",\N,\N,\N,"3个月",\N,\N,\N,\N,\N,"按月付息到期还本","sunbh",\N,\N,"专科","已婚",\N,"贵州平坝县","10001-30000",\N,\N,\N
"78959",\N,\N,\N,"个体经营 需要资金周转
                    普通标","170000.000000",\N,"借款详情：本人住址位于重庆市荣昌县，是个体经营，因业务量提升，急需一笔资金周转。","1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","jinjingcheng",\N,"46.000000","专科","未婚",\N,"重庆荣昌","10001-30000",\N,\N,\N
"78960",\N,\N,\N,"扩大经营 需要资金周转
                    					优选理财","260000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","szyarou",\N,"28.000000","本科","已婚",\N,"湖北省远安县","10001-30000",\N,\N,"2.000000"
"78961",\N,\N,\N,"扩大经营 需资金周转
                    					优选理财","350000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","dtyft54r5",\N,"32.000000","本科","已婚",\N,"山东省陵县","10001-30000",\N,"有","2.000000"
"78962",\N,\N,\N,"商铺装修 急需资金周转
                    					优选理财","300000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","z7dhi",\N,"42.000000","专科","已婚",\N,"山东省商河县","10001-30000",\N,"有","2.000000"
"78963",\N,\N,\N,"开服装店 需要资金支持
                    					优选理财","350000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","xdfsgs",\N,"52.000000","高中及以下","已婚",\N,"安徽省六安市","10001-30000",\N,"有","2.000000"
"78964",\N,\N,\N,"生活消费 需要资金周转
                    普通标","120000.000000",\N,"借款详情：本人位于河南省孟津县，因生活消费，需要资金周转，望大家支持。","1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","wahaha888",\N,"30.000000","本科","已婚",\N,"河南省孟津县","8001-10000",\N,"有",\N
"78965",\N,\N,\N,"扩大规模 需资金周转","260000.000000",\N,"本人为公司总经理，位于重庆市忠县，因公司扩大规模，需要资金周转一下，望大家支持.","15天",\N,"8.000000",\N,\N,\N,"到期还本付息","cnfvghn",\N,"28.000000","本科","已婚",\N,"重庆市忠县","10001-30000",\N,"有","7.000000"
"78966",\N,\N,\N,"扩大经营，需要资金周转
                    					优选理财","340000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","zcvbnn",\N,"53.000000","高中及以下","已婚",\N,"吉林省德惠市","10001-30000",\N,"有","2.000000"
"78967",\N,\N,\N,"由于上班需要，需要买一辆车。
                    普通标","56480.000000",\N,\N,"3个月",\N,"11.000000",\N,\N,\N,"按月付息到期还本","jason0620",\N,"42.000000","专科","已婚",\N,"成都市青羊区","10001-30000",\N,"有",\N
"78968",\N,\N,\N,"新房装修，急需一笔装修费用
                    普通标","200000.000000",\N,"借款详情：本人有一套位于长春市双阳区的住房，因新房装修，急需一笔装修费用。","1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","xvgtg",\N,"38.000000","专科","已婚",\N,"长春市双阳区","10001-30000",\N,"有",\N
"78969",\N,\N,\N,"扩大经营，需资金临时周转
                    普通标",\N,\N,\N,"6个月",\N,\N,\N,\N,\N,"按月付息到期还本","anyun871001",\N,\N,"高中及以下","已婚",\N,"湖北省枝江市","8001-10000",\N,\N,\N
"78970",\N,\N,\N,"公司经营 需要资金周转
                    普通标","150000.000000",\N,"借款详情：本人位于云南省昆明市，因公司经营，需购进一批原材料，需要资金周转，望大家多多支持。","1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","pierogoal200",\N,"27.000000","本科","已婚",\N,"云南省昆明市","10001-30000",\N,\N,\N
"78971",\N,\N,\N,"诊所扩建 需资金周转
                    					优选理财","350000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","cghfg57gh8",\N,"39.000000","高中及以下","已婚",\N,"吉林前郭尔罗斯蒙古族自治县","10001-30000",\N,"有","2.000000"
"78972",\N,\N,\N,"新房装修急需资金周转
                    					优选理财","350000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","cftrf56",\N,"26.000000","本科","已婚",\N,"山西省忻州市","10001-30000",\N,"有","2.000000"
"78973",\N,\N,\N,"个人消费，需要资金周转
                    普通标","150000.000000",\N,"借款详情：本人位于辽宁省辽阳市，因个人消费，需要资金周转，望大家支持。","1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","victor198819",\N,"33.000000","本科","已婚",\N,"辽宁省辽阳市","10001-30000",\N,\N,\N
"78974",\N,\N,\N,"公司经营 需要资金周转
                    普通标","150000.000000",\N,"借款详情：本人位于甘肃省酒泉市，因公司经营，需要资金周转，请大家支持。","1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","kikikang",\N,"29.000000","研究生","已婚",\N,"甘肃省酒泉市","10001-30000",\N,"有",\N
"78975",\N,\N,\N,"商铺装修 急需资金周转
                    					优选理财","300000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","shwxjd",\N,"31.000000","本科","已婚",\N,"甘肃省天水市","10001-30000",\N,\N,"2.000000"
"78976",\N,\N,\N,"购买材料，给库房囤点货。
                    普通标","56480.000000",\N,\N,"3个月",\N,"11.000000",\N,\N,\N,"按月付息到期还本","独自等待0800",\N,"43.000000","专科","已婚",\N,"河南省洛阳市","10001-30000",\N,"有",\N
"78977",\N,\N,\N,"扩大经营 需要资金周转
                    普通标","240000.000000",\N,"借款详情：本人位于广西北海市银海区，因扩大经营，需要资金周转，望大家支持。","1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","yuandongsheng",\N,"33.000000","本科","已婚",\N,"广西北海市银海区","30001-50000",\N,"有",\N
"78978",\N,\N,\N,"扩大经营 需要资金周转
                    普通标","190000.000000",\N,"借款详情：本人位于天津市宁河县，因公司扩大经营，需要资金周转，望大家支持。","1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","bkapp",\N,"47.000000","高中及以下","已婚",\N,"天津市宁河县","10001-30000",\N,"有",\N
"78979",\N,\N,\N,"企业扩大经营，需要大家相助
                    					优选理财","400000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","q3bnmm",\N,"40.000000","专科","已婚",\N,"广东省湛江市","50000以上",\N,"有","2.000000"
"78980",\N,\N,\N,"优选2015062302期
                    					优选理财","280000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","q3bnmm",\N,"40.000000","专科","已婚",\N,"广东省湛江市","50000以上",\N,"有","2.000000"
"78981",\N,\N,\N,"车辆抵押，需要资金周转
                    					优选理财","560000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","q9vnnj",\N,"39.000000","专科","已婚",\N,"内蒙古赤峰市","50000以上",\N,"有","2.000000"
"78982",\N,\N,\N,"扩大规模，进一批设备
                    普通标","56480.000000",\N,\N,"1个月",\N,"9.000000",\N,\N,\N,"按月付息到期还本","苦杏仁",\N,"54.000000","高中及以下","已婚",\N,"南京市鼓楼区","10001-30000",\N,"有",\N
"78983",\N,\N,\N,"新房装修，需要一笔费用
                    普通标","42360.000000",\N,\N,"3个月",\N,"11.000000",\N,\N,\N,"按月付息到期还本","巴黎铁塔",\N,"26.000000","本科","已婚",\N,"江苏省淮安区","10001-30000",\N,"有",\N
"78984",\N,\N,\N,"生意周转 需要资金支持
                    					优选理财","180000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","csr1468",\N,"40.000000","本科","已婚",\N,"河北省嵩山县","10001-30000",\N,"有","2.000000"
"78985",\N,\N,\N,"生意周转 需要资金支持","230000.000000",\N,"本人有一套位于南京市鼓楼区的商品房，刚装修完需要开一家火锅分店，望大家支持。","15天",\N,"8.000000",\N,\N,\N,"到期还本付息","qwer",\N,"53.000000","高中及以下","已婚",\N,"南京市鼓楼区","10001-30000",\N,"有","7.000000"
"78986",\N,\N,\N,"扩大经营，需要资金周转
                    					优选理财","260000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qianpocia",\N,"48.000000","高中及以下","已婚",\N,"吉林省扶余县","10001-30000",\N,\N,"2.000000"
"78987",\N,\N,\N,"扩大规模，需资金周转
                    					优选理财","350000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","vy34nik",\N,"39.000000","本科","已婚",\N,"长春市朝阳区","30001-50000",\N,"有","2.000000"
"78988",\N,\N,\N,"房子装修 需要资金周转
                    					优选理财",\N,\N,\N,"3个月",\N,\N,\N,\N,\N,"按月付息到期还本","379ly",\N,\N,"高中及以下","已婚",\N,"山东省济南市","10001-30000",\N,"有",\N
"78989",\N,\N,\N,"公司经营，需要资金周转
                    					优选理财","300000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","utfghrfh",\N,"38.000000","专科","已婚",\N,"山西省太原市","10001-30000",\N,"有","2.000000"
"78990",\N,\N,\N,"店面装修，急需资金周转
                    					优选理财","380000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","hdxbc",\N,"48.000000","高中及以下","已婚",\N,"吉林省长春市双阳区","10001-30000",\N,"有","2.000000"
"78991",\N,\N,\N,"店面装修，急需资金周转","200000.000000",\N,"本人位于辽宁省四川省崇州市，因店面扩大装修，需要资金周转，望大家多多支持。","15天",\N,"8.000000",\N,\N,\N,"到期还本付息","vkmgjh89",\N,"27.000000","本科","已婚",\N,"四川省崇州市","10001-30000",\N,"有","7.000000"
"78992",\N,\N,\N,"购买原材料，需要一笔资金
                    普通标","42300.000000",\N,\N,"3个月",\N,"11.000000",\N,\N,\N,"按月付息到期还本","ajej",\N,"34.000000","研究生","已婚",\N,"南京市玄武区","30001-50000",\N,"有",\N
